NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
BK41,Brooklyn,0.037,Kensington-Ocean Parkway,36891,38256.0,39671.0,41139.0,42661.0,44240.0,45877.0,47574.0,49334.0,51160.0,53053.0
BK42,Brooklyn,0.037,Flatbush,105804,109719.0,113778.0,117988.0,122354.0,126881.0,131575.0,136444.0,141492.0,146727.0,152156.0
BK43,Brooklyn,0.037,Midwood,52835,54790.0,56817.0,58919.0,61099.0,63360.0,65704.0,68135.0,70656.0,73271.0,75982.0
BK44,Brooklyn,0.037,Madison,38917,40357.0,41850.0,43399.0,45004.0,46669.0,48396.0,50187.0,52044.0,53969.0,55966.0
BK45,Brooklyn,0.037,Georgetown-Marine Park-Bergen Beach-Mill Basin,45231,46905.0,48640.0,50440.0,52306.0,54241.0,56248.0,58329.0,60488.0,62726.0,65046.0
BK46,Brooklyn,0.037,Ocean Parkway South,20299,21050.0,21829.0,22637.0,23474.0,24343.0,25243.0,26177.0,27146.0,28150.0,29192.0
BK50,Brooklyn,0.037,Canarsie,83693,86790.0,90001.0,93331.0,96784.0,100365.0,104079.0,107930.0,111923.0,116064.0,120358.0
BK58,Brooklyn,0.037,Flatlands,64762,67158.0,69643.0,72220.0,74892.0,77663.0,80537.0,83516.0,86606.0,89811.0,93134.0
BK60,Brooklyn,0.037,Prospect Lefferts Gardens-Wingate,67459,69955.0,72543.0,75227.0,78011.0,80897.0,83890.0,86994.0,90213.0,93551.0,97012.0
BK61,Brooklyn,0.037,Crown Heights North,103169,106986.0,110945.0,115050.0,119307.0,123721.0,128299.0,133046.0,137968.0,143073.0,148367.0
BK63,Brooklyn,0.037,Crown Heights South,39670,41138.0,42660.0,44238.0,45875.0,47573.0,49333.0,51158.0,53051.0,55014.0,57049.0
BK64,Brooklyn,0.037,Prospect Heights,19849,20583.0,21345.0,22135.0,22954.0,23803.0,24684.0,25597.0,26544.0,27526.0,28545.0
BK68,Brooklyn,0.037,Fort Greene,26079,27044.0,28045.0,29082.0,30158.0,31274.0,32431.0,33631.0,34876.0,36166.0,37504.0
BK69,Brooklyn,0.037,Clinton Hill,34791,36078.0,37413.0,38797.0,40233.0,41722.0,43265.0,44866.0,46526.0,48248.0,50033.0
BK72,Brooklyn,0.037,Williamsburg,32926,34144.0,35408.0,36718.0,38076.0,39485.0,40946.0,42461.0,44032.0,45661.0,47351.0
BK73,Brooklyn,0.037,North Side-South Side,45774,47468.0,49224.0,51045.0,52934.0,54892.0,56923.0,59030.0,61214.0,63479.0,65827.0
BK75,Brooklyn,0.037,Bedford,70713,73329.0,76043.0,78856.0,81774.0,84799.0,87937.0,91191.0,94565.0,98064.0,101692.0
BK76,Brooklyn,0.037,Greenpoint,34719,36004.0,37336.0,38717.0,40150.0,41635.0,43176.0,44773.0,46430.0,48148.0,49929.0
BK77,Brooklyn,0.037,Bushwick North,57138,59252.0,61444.0,63718.0,66075.0,68520.0,71055.0,73685.0,76411.0,79238.0,82170.0
BK78,Brooklyn,0.037,Bushwick South,72101,74769.0,77535.0,80404.0,83379.0,86464.0,89663.0,92981.0,96421.0,99989.0,103688.0
BK79,Brooklyn,0.037,Ocean Hill,31935,33117.0,34342.0,35613.0,36930.0,38297.0,39714.0,41183.0,42707.0,44287.0,45926.0
BK81,Brooklyn,0.037,Brownsville,58300,60457.0,62694.0,65014.0,67419.0,69914.0,72501.0,75183.0,77965.0,80850.0,83841.0
BK82,Brooklyn,0.037,East New York,91958,95360.0,98889.0,102548.0,106342.0,110277.0,114357.0,118588.0,122976.0,127526.0,132244.0
BK83,Brooklyn,0.037,Cypress Hills-City Line,49223,51044.0,52933.0,54891.0,56922.0,59029.0,61213.0,63477.0,65826.0,68262.0,70787.0
BK85,Brooklyn,0.037,East New York (Pennsylvania Ave),29343,30429.0,31555.0,32722.0,33933.0,35188.0,36490.0,37840.0,39241.0,40692.0,42198.0
BK88,Brooklyn,0.037,Borough Park,106357,110292.0,114373.0,118605.0,122993.0,127544.0,132263.0,137157.0,142232.0,147494.0,152951.0
BK90,Brooklyn,0.037,East Williamsburg,34158,35422.0,36732.0,38092.0,39501.0,40962.0,42478.0,44050.0,45680.0,47370.0,49122.0
BK91,Brooklyn,0.037,East Flatbush-Farragut,50355,52218.0,54150.0,56154.0,58231.0,60386.0,62620.0,64937.0,67340.0,69832.0,72415.0
BK93,Brooklyn,0.037,Starrett City,13354,13848.0,14360.0,14892.0,15443.0,16014.0,16607.0,17221.0,17858.0,18519.0,19204.0
BK95,Brooklyn,0.037,Erasmus,29938,31046.0,32194.0,33386.0,34621.0,35902.0,37230.0,38608.0,40036.0,41518.0,43054.0
BK96,Brooklyn,0.037,Rugby-Remsen Village,55326,57373.0,59496.0,61697.0,63980.0,66347.0,68802.0,71348.0,73988.0,76725.0,79564.0
BK99,Brooklyn,0.037,park-cemetery-etc-Brooklyn,418,433.0,450.0,466.0,483.0,501.0,520.0,539.0,559.0,580.0,601.0
MN01,Manhattan,0.033,Marble Hill-Inwood,46746,48289.0,49882.0,51528.0,53229.0,54985.0,56800.0,58674.0,60610.0,62611.0,64677.0
MN03,Manhattan,0.033,Central Harlem North-Polo Grounds,75282,77766.0,80333.0,82984.0,85722.0,88551.0,91473.0,94492.0,97610.0,100831.0,104158.0
MN04,Manhattan,0.033,Hamilton Heights,48520,50121.0,51775.0,53484.0,55249.0,57072.0,58955.0,60901.0,62911.0,64987.0,67131.0
QN61,Queens,0.036,Jamaica,53751,55686.0,57691.0,59768.0,61919.0,64148.0,66458.0,68850.0,71329.0,73897.0,76557.0
MN06,Manhattan,0.033,Manhattanville,22950,23707.0,24490.0,25298.0,26133.0,26995.0,27886.0,28806.0,29757.0,30739.0,31753.0
MN09,Manhattan,0.033,Morningside Heights,55929,57775.0,59681.0,61651.0,63685.0,65787.0,67958.0,70200.0,72517.0,74910.0,77382.0
MN11,Manhattan,0.033,Central Harlem South,43383,44815.0,46294.0,47821.0,49399.0,51029.0,52713.0,54453.0,56250.0,58106.0,60024.0
MN12,Manhattan,0.033,Upper West Side,132378,136746.0,141259.0,145921.0,150736.0,155710.0,160849.0,166157.0,171640.0,177304.0,183155.0
MN13,Manhattan,0.033,Hudson Yards-Chelsea-Flat Iron-Union Square,70150,72465.0,74856.0,77327.0,79878.0,82514.0,85237.0,88050.0,90956.0,93957.0,97058.0
