NTACode,Borough,Growth Factor,NTA Name,Population - 2010,Population - 2011,Population - 2012,Population - 2013,Population - 2014,Population - 2015,Population - 2016,Population - 2017,Population - 2018,Population - 2019,Population - 2020
QN53,Queens,0.036,Woodhaven,56674,58714.0,60828.0,63018.0,65286.0,67637.0,70072.0,72594.0,75208.0,77915.0,80720.0
QN54,Queens,0.036,Richmond Hill,62982,65249.0,67598.0,70032.0,72553.0,75165.0,77871.0,80674.0,83578.0,86587.0,89704.0
QN55,Queens,0.036,South Ozone Park,75878,78610.0,81440.0,84371.0,87409.0,90555.0,93815.0,97193.0,100692.0,104317.0,108072.0
QN56,Queens,0.036,Ozone Park,21376,22146.0,22943.0,23769.0,24624.0,25511.0,26429.0,27381.0,28366.0,29388.0,30446.0
QN57,Queens,0.036,Lindenwood-Howard Beach,26148,27089.0,28065.0,29075.0,30122.0,31206.0,32329.0,33493.0,34699.0,35948.0,37242.0
QN60,Queens,0.036,Kew Gardens,23278,24116.0,24984.0,25884.0,26815.0,27781.0,28781.0,29817.0,30890.0,32002.0,33155.0
QN62,Queens,0.036,Queensboro Hill,20800,21549.0,22325.0,23128.0,23961.0,24823.0,25717.0,26643.0,27602.0,28596.0,29625.0
QN63,Queens,0.036,Woodside,45099,46723.0,48405.0,50147.0,51952.0,53823.0,55760.0,57768.0,59847.0,62002.0,64234.0
QN66,Queens,0.036,Laurelton,24453,25333.0,26245.0,27190.0,28169.0,29183.0,30234.0,31322.0,32450.0,33618.0,34828.0
QN68,Queens,0.036,Queensbridge-Ravenswood-Long Island City,20030,20751.0,21498.0,22272.0,23074.0,23905.0,24765.0,25657.0,26580.0,27537.0,28528.0
QN70,Queens,0.036,Astoria,78793,81630.0,84568.0,87613.0,90767.0,94034.0,97420.0,100927.0,104560.0,108324.0,112224.0
QN71,Queens,0.036,Old Astoria,27814,28815.0,29853.0,30927.0,32041.0,33194.0,34389.0,35627.0,36910.0,38239.0,39615.0
QN72,Queens,0.036,Steinway,47534,49245.0,51018.0,52855.0,54757.0,56729.0,58771.0,60887.0,63079.0,65349.0,67702.0
